Movie Name,Year,Genre,Language
Sachin: A Billion Dreams,2017,"Documentary,Drama",hi
Thodi Thodi Si Manmaaniyan,2017,Romance,hi
A Death in the Gunj,2017,"Drama,Thriller",hi
Sweetiee Weds NRI,2017,"Comedy,Drama,Romance",hi
Dobaara: See Your Evil,2017,Horror,hi
Flat 211,2017,"Crime,Mystery,Thriller",hi
Dear Maya,2017,Drama,hi
Raabta,2017,"Romance,Thriller",hi
Behen Hogi Teri,2017,"Romance,Comedy,Drama",hi
Love You Family,2017,Drama,hi
G Kutta Se,2017,Drama,hi
Bank Chor,2017,"Comedy,Crime,Thriller",hi
Tubelight,2017,"Drama,War",hi
Ek Haseena Thi Ek Deewana Tha,2017,"History,Thriller",hi
Guest iin London,2017,Comedy,hi
Jagga Jasoos,2017,"Adventure,Comedy,Mystery,Romance",hi
Lipstick Under My Burkha,2017,"Comedy,Drama",hi
Munna Michael,2017,"Music,Action",hi
Indu Sarkar,2017,"Drama,History",hi
Mubarakan,2017,"Comedy,Drama",hi
Gurgaon,2017,"Crime,Thriller",hi
Jab Harry Met Sejal,2017,"Comedy,Drama,Romance",hi
Bareilly Ki Barfi,2017,"Romance,Comedy",hi
A Gentleman,2017,"Action,Comedy",hi
Qaidi Band,2017,"Drama,Music",hi
Baadshaho,2017,"Action,Thriller",hi
Poster Boys,2017,Comedy,hi
Daddy,2017,"Crime,Drama,History",hi
Simran,2017,"Drama,Crime,Thriller",hi
Lucknow Central,2017,"Drama,Action,Thriller",hi
Patel Ki Punjabi Shaadi,2017,Comedy,hi
Newton,2017,"Comedy,Drama",hi
Bhoomi,2017,"Action,Drama",hi
The Final Exit,2017,"Horror,Thriller",hi
Haseena Parkar,2017,"Crime,Drama",hi
Judwaa 2,2017,"Action,Comedy,Romance",hi
Chef,2017,"Drama,Comedy,Family",hi
Ranchi Diaries,2017,Drama,hi
Secret Superstar,2017,"Drama,Music",hi
Golmaal Again,2017,"Comedy,Horror,Action,Fantasy",hi
Jia aur Jia,2017,Drama,hi
Rukh,2017,"Mystery,Drama",hi
Ribbon,2017,"Drama,Family",hi
Shaadi Mein Zaroor Aana,2017,"Romance,Family",hi
Qarib Qarib Singlle,2017,"Comedy,Drama,Romance",hi
Aksar 2,2017,"Romance,Thriller",hi
Panchlait,2017,Drama,hi
Tumhari Sulu,2017,"Comedy,Drama",hi
Dil Jo Na Keh Saka,2017,Romance,hi
Julie 2,2017,"Drama,Romance,Thriller",hi
Ajji,2017,"Thriller,Crime",hi
Kadvi Hawa,2017,Drama,hi
Tera Intezaar,2017,"Thriller,Romance",hi
Firangi,2017,"Drama,Comedy",hi
Sallu Ki Shaadi,2017,Comedy,hi
Monsoon Shootout,2017,Thriller,hi
Tiger Zinda Hai,2017,"Action,Thriller",hi
Wazir,2016,"Thriller,Action,Crime",hi
Airlift,2016,"Drama,History,Action",hi
Jugni,2016,Drama,hi
Kyaa Kool Hain Hum 3,2016,Comedy,hi
Mastizaade,2016,"Romance,Comedy",hi
Sanam Teri Kasam,2016,"Drama,Romance",hi
Fitoor,2016,"Romance,Drama",hi
Sanam Re,2016,"Drama,Romance",hi
Direct Ishq,2016,"Action,Comedy,Romance",hi
LoveShhuda,2016,"Comedy,Romance",hi
Neerja,2016,"Drama,Thriller",hi
Dhara 302,2016,Drama,hi
Aligarh,2016,Drama,hi
Bollywood Diaries,2016,Drama,hi
Love Shagun,2016,"Comedy,Romance",hi
Zubaan,2016,"Drama,Music",hi
Jai Gangaajal,2016,"Drama,Action",hi
Global Baba,2016,Thriller,hi
Teraa Surroor,2016,"Romance,Action,Drama",hi
Kapoor & Sons,2016,"Drama,Romance,Comedy",hi
Rocky Handsome,2016,"Action,Thriller",hi
Love Games,2016,"Romance,Thriller",hi
The Blueberry Hunt,2016,Thriller,hi
Kaafiron Ki Namaaz,2016,"Drama,Thriller",hi
Fan,2016,"Action,Drama,Thriller",hi
Nil Battey Sannata,2015,"Drama,Family",hi
Laal Rang,2016,"Comedy,Crime,Drama,Thriller",hi
Santa Banta Pvt Ltd,2016,"Action,Comedy",hi
Baaghi,2016,"Action,Thriller,Romance",hi
Shortcut Safari,2016,"Drama,Adventure",hi
One Night Stand,2016,"Drama,Romance",hi
Traffic,2016,"Thriller,Drama",hi
Azhar,2016,Drama,hi
Buddha in a Traffic Jam,2016,"Thriller,Crime",hi
Dear Dad,2016,"Drama,Family",hi
Sarbjit,2016,Drama,hi
Phobia,2016,"Drama,Mystery,Thriller",hi
Veerappan,2016,"Action,Crime",hi
Fredrick,2016,"Action,Thriller",hi
Housefull 3,2016,"Comedy,Action",hi
Project Marathwada,2016,Drama,hi
Do Lafzon Ki Kahani,2016,"Drama,Romance,Action",hi
Dhanak,2015,"Drama,Comedy",hi
Te3n,2016,"Mystery,Thriller,Drama",hi
Udta Punjab,2016,"Action,Crime,Drama",hi
Junooniyat,2016,"Drama,Romance",hi
A Scandall,2016,Thriller,hi
Shorgul,2016,Drama,hi
Dil Toh Deewana Hai,2016,"Romance,Drama",hi
Sultan,2016,"Drama,Action",hi
Madaari,2016,"Thriller,Drama",hi
M Cream,2016,"Adventure,Drama,Comedy",hi
Dishoom,2016,"Comedy,Action",hi
Love Ke Funday,2016,Comedy,hi
Mission Tiger,2016,Adventure,hi
The Legend of Michael Mishra,2016,"Drama,Comedy",hi
Fever,2016,"Mystery,Crime",hi
Hai Apna Dil Toh Awara,2016,Comedy,hi
Mohenjo Daro,2016,"Adventure,Drama,History,Romance",hi
Rustom,2016,"Thriller,Drama,Crime",hi
Happy Bhag Jayegi,2016,"Comedy,Romance",hi
A Flying Jatt,2016,"Fantasy,Action,Adventure",hi
Akira,2016,"Action,Crime,Thriller",hi
Yea Toh Two Much Ho Gayaa,2016,"Drama,Action,Comedy",hi
Island City,2015,"Comedy,Drama",hi
Baar Baar Dekho,2016,"Romance,Drama,Action",hi
Freaky Ali,2016,"Comedy,Romance",hi
Ek Kahani Julie Ki,2016,"Crime,Drama,Thriller",hi
Pink,2016,"Drama,Thriller",hi
Parched,2015,Drama,hi
Banjo,2016,"Music,Action",hi
M.S. Dhoni: The Untold Story,2016,Drama,hi
Mirzya,2016,"Romance,Drama,Fantasy",hi
Beiimaan Love,2016,"Thriller,Romance",hi
Saat Uchakkey,2016,Comedy,hi
Fuddu,2016,"Comedy,Drama",hi
Umrika,2015,"Drama,Comedy",hi
31st October,2016,"Action,Drama,History",hi
My Father Iqbal,2016,Drama,hi
Shivaay,2016,"Adventure,Action,Drama,Thriller",hi
Ae Dil Hai Mushkil,2016,"Romance,Drama",hi
Dongri Ka Raja,2016,"Romance,Action,Drama",hi
Ishq Junoon,2016,"Drama,Romance",hi
Rock On 2,2016,"Music,Drama",hi
Force 2,2016,"Action,Adventure,Crime",hi
Dear Zindagi,2016,"Drama,Romance",hi
Moh Maya Money,2016,"Thriller,Crime,Drama",hi
Kahaani 2,2016,"Thriller,Mystery",hi
Befikre,2016,"Romance,Comedy,Drama",hi
Wajah Tum Ho,2016,"Drama,Mystery,Romance,Thriller",hi
Dangal,2016,"Drama,Family,Comedy,Action",hi
Tevar,2015,"Thriller,Action,Drama",hi
Baby,2015,"Action,Thriller",hi
Dolly Ki Doli,2015,"Comedy,Romance",hi
Hawaizaada,2015,"Drama,Fantasy,History",hi
Khamoshiyan,2015,"Drama,Horror",hi
Shamitabh,2015,"Comedy,Drama,Thriller",hi
Badlapur,2015,"Crime,Thriller,Action",hi
Ab Tak Chhappan 2,2015,"Crime,Action",hi
